270313;72252;5095948;1;3;199;01
270313;72252;5096153;1;3;199;01
280313;72252;5096539;1;3;199;01
010413;72252;5097418;2;20;399;01
020413;72252;5097703;1;3;199;01
020413;72252;5097191;1;3;199;01
030413;72252;5098122;1;3;199;01
030413;72252;5098667;1;3;199;01
040413;72252;5093935;1;3;199;01
050413;72252;5099122;1;3;199;01
050413;72252;5099569;1;3;199;01
080413;72252;5099936;1;3;199;01
090413;72252;5100931;1;3;199;01
080413;72252;5100365;1;3;199;01
090413;72252;5101132;1;3;199;01
100413;72252;5101811;1;3;199;01
100413;72252;5101601;1;3;199;01
110413;72252;5102230;1;3;199;01
120413;72252;5102801;1;3;199;01
150413;72252;5103018;1;3;199;01
150413;72252;5103396;1;3;199;01
160413;72252;5103775;;3;199;01
170413;72252;5104613;1;3;199;01
160413;72252;5104316;1;3;199;01
180413;72252;5105494;1;3;199;01
170413;72252;5105045;1;3;199;01
240413;72252;5108322;1;3;199;01
240413;72252;5108524;1;3;199;01
250413;72252;5108709;1;3;199;01
