5099569;11;24;1;07/04/2013;56.15
5104613;13;61;;21/04/203;81.70
5104613;3;100;2;05/5/2013;71.40
5104613;1;3;3;16/06/2013;15.77
5096539;9;16;1;31/03/2013;42.85
5096539;2;59;2;14/04/2013;31.68
5108322;16;73;1;28/04/2013;105.90
5108322;2;54;2;12/05/2013;29.10
5096153;22;79;;31/03/2013;125.39
5096153;1;3;2;28/04/2013;13.85
5099122;12;36;1;07/04/2013;72.83
5099122;6;401;2;21/04/2013;241.49
5101601;4;4;1;14/04/2013;20.68
5104316;11;15;1;21/04/2013;32.90
5104316;11;13;2;16/06/2013;41.99
5100931;10;17;1;14/04/2013;41.37
5100931;5;292;2;28/04/2013;176.52
5108709;12;30;1;28/04/2013;80.61
5108709;5;226;2;12/05/2013;95.32
5093935;3;3;1;07/04/2013;16.87
5098122;20;87;1;07/04/2013;137.98
5102801;12;30;1;14/04/2013;55.41
5102801;4;140;2;28/04/2013;122.85
